day,num,sell_won,sell,get_1,num_1,sim_1,sim_2
2008-07-05,292,43394631000,43394631,720373950,14,5,4
2008-07-12,293,42399708000,42399708,1656764400,6,9,2
2008-07-19,294,41563813000,41563813,2406504975,4,1,6
2008-07-26,295,42248135000,42248135,0,0,6,4
2008-08-02,296,63377899000,63377899,3066088275,8,12,7
2008-08-09,297,43641475000,43641475,5056668750,2,4,5
2008-08-16,298,43151675000,43151675,9909778500,1,8,5
2008-08-23,299,44463909000,44463909,1483772529,7,3,6
2008-08-30,300,44465047000,44465047,836092425,12,4,4
2008-09-06,301,44377177000,44377177,1447385015,7,2,6
2008-09-13,302,46382605000,46382605,5472167250,2,4,8
2008-09-20,303,42841760000,42841760,1672749000,6,3,3
2008-09-27,304,43158653000,43158653,1661646150,6,1,7
2008-10-04,305,43960659000,43960659,2008210140,5,11,3
2008-10-11,306,44421462000,44421462,2102669520,5,7,5
2008-10-18,307,43880990000,43880990,2587643250,4,4,9
2008-10-25,308,43339416000,43339416,10232872800,1,7,6
2008-11-01,309,44157528000,44157528,901622946,11,3,11
2008-11-08,310,43718082000,43718082,1296713325,8,7,4
2008-11-15,311,43209215000,43209215,1237691063,8,1,3
2008-11-22,312,42255391000,42255391,629017820,15,5,8
2008-11-29,313,43672096000,43672096,1715422800,6,6,3
2008-12-06,314,42328094000,42328094,1660512200,6,3,3
2008-12-13,315,44339180000,44339180,1308728625,8,5,1
2008-12-20,316,44073768000,44073768,1673586400,6,1,4
2008-12-27,317,44135114000,44135114,2576258550,4,7,5
2009-01-03,318,46663728000,46663728,1207436600,9,4,4
2009-01-10,319,45435183000,45435183,2135659380,5,5,7
2009-01-17,320,46659886000,46659886,5513067900,2,1,2
2009-01-24,321,50617982000,50617982,1959136100,6,9,5
2009-01-31,322,48948294000,48948294,1904544700,6,4,12
2009-02-07,323,49209477000,49209477,1461025388,8,10,3
2009-02-14,324,47988317000,47988317,1865130350,6,8,9
2009-02-21,325,46636979000,46636979,1806122450,6,12,7
2009-02-28,326,47224551000,47224551,1832134550,6,6,5
2009-03-07,327,45791560000,45791560,882674750,12,7,1
2009-03-14,328,47316988000,47316988,1819795900,6,6,5
2009-03-21,329,47198504000,47198504,1830391200,6,4,4
2009-03-28,330,45859496000,45859496,1162280200,9,2,4
2009-04-04,331,46641467000,46641467,2165902620,5,7,6
2009-04-11,332,46042557000,46042557,1359448388,8,4,4
2009-04-18,333,46019070000,46019070,1550987143,7,4,3
2009-04-25,334,44439656000,44439656,1523002972,7,3,5
2009-05-02,335,43977478000,43977478,2037492480,5,9,5
2009-05-09,336,43069333000,43069333,1685632650,6,6,6
2009-05-16,337,43432467000,43432467,1257500513,8,6,9
2009-05-23,338,43136020000,43136020,3383431000,3,6,5
2009-05-30,339,42035640000,42035640,1096778334,9,7,7
2009-06-06,340,42892121000,42892121,1439393186,7,3,6
2009-06-13,341,44722448000,44722448,1497207772,7,6,7
2009-06-20,342,43782188000,43782188,3454095800,3,6,7
2009-06-27,343,43656460000,43656460,1717153000,6,4,2
2009-07-04,344,43838886000,43838886,1467106543,7,7,3
2009-07-11,345,43530937000,43530937,5203577550,2,2,3
2009-07-18,346,42862389000,42862389,2017727340,5,2,3
2009-07-25,347,44219740000,44219740,1456624286,7,5,7
2009-08-01,348,42786310000,42786310,3299994000,3,4,6
2009-08-08,349,43433870000,43433870,3353209000,3,5,5
2009-08-15,350,42681094000,42681094,1101052467,9,9,8
2009-08-22,351,43947492000,43947492,2583357150,4,3,5
2009-08-29,352,44719545000,44719545,1732858250,6,7,3
2009-09-05,353,44552925000,44552925,5290838250,2,10,8
2009-09-12,354,44709689000,44709689,2124464340,5,3,7
2009-09-19,355,45017050000,45017050,2145424800,5,2,6
2009-09-26,356,44684958000,44684958,1157185267,9,9,9
2009-10-03,357,45232409000,45232409,5313394350,2,5,5
2009-10-10,358,45651829000,45651829,3472654900,3,5,13
2009-10-17,359,45288256000,45288256,1286712600,8,4,7
2009-10-24,360,45719032000,45719032,3566716200,3,5,3
2009-10-31,361,45062676000,45062676,1473115115,7,5,6
2009-11-07,362,44336363000,44336363,1729424650,6,11,7
2009-11-14,363,44863948000,44863948,2615910600,4,2,3
2009-11-21,364,44192004000,44192004,2531914800,4,3,4
2009-11-28,365,45806066000,45806066,10697716800,1,5,9
2009-12-05,366,45962166000,45962166,5351553900,2,6,9
2009-12-12,367,46459307000,46459307,1581736586,7,4,7
2009-12-19,368,43746046000,43746046,1465825115,7,3,5
2009-12-26,369,46716275000,46716275,1842177750,6,5,5
2010-01-02,370,49762652000,49762652,1678941943,7,6,7
2010-01-09,371,45843166000,45843166,1524130543,7,6,6
2010-01-16,372,46167066000,46167066,1192593200,9,5,5
2010-01-23,373,47095065000,47095065,2791801125,4,7,4
2010-01-30,374,48081319000,48081319,5528717850,2,5,5
2010-02-06,375,47864938000,47864938,1581284058,7,6,6
2010-02-13,376,50657096000,50657096,1956915800,6,6,6
2010-02-20,377,49218434000,49218434,3912085400,3,11,4
2010-02-27,378,48866964000,48866964,2317698240,5,7,5
2010-03-06,379,47537685000,47537685,1598999786,7,2,7
2010-03-13,380,47164371000,47164371,2684274825,4,5,5
2010-03-20,381,47943113000,47943113,565738895,19,5,4
2010-03-27,382,47401288000,47401288,1846674900,6,7,5
2010-04-03,383,46067051000,46067051,3596522100,3,6,11
2010-04-10,384,46888942000,46888942,3658734200,3,6,6
2010-04-17,385,46243483000,46243483,1542032700,7,4,10
2010-04-24,386,45907331000,45907331,1042953330,10,6,3
2010-05-01,387,45459960000,45459960,2675533500,4,4,7
2010-05-08,388,44308705000,44308705,2545543875,4,4,8
2010-05-15,389,45534027000,45534027,2119027020,5,7,6
2010-05-22,390,44189673000,44189673,10373997900,1,4,6
2010-05-29,391,45161516000,45161516,10508749800,1,5,4
2010-06-05,392,45528684000,45528684,1713528700,6,7,1
2010-06-12,393,45989116000,45989116,1362003975,8,7,12
2010-06-19,394,45192337000,45192337,10654349100,1,6,4
2010-06-26,395,46192580000,46192580,1534635000,7,5,6
2010-07-03,396,45463736000,45463736,5296622400,2,5,5
2010-07-10,397,45890007000,45890007,3499519700,3,6,4
2010-07-17,398,45427304000,45427304,2680625550,4,4,6
2010-07-24,399,45551786000,45551786,1276854975,8,8,9
2010-07-31,400,45379731000,45379731,2669834325,4,5,9
2010-08-07,401,43491965000,43491965,1168214792,9,5,3
2010-08-14,402,45002946000,45002946,2662206188,4,6,7
2010-08-21,403,44911335000,44911335,2122396875,5,6,7
2010-08-28,404,45389825000,45389825,3566659375,3,4,1
2010-09-04,405,45220904000,45220904,3543878000,3,5,6
2010-09-11,406,46062206000,46062206,2156142450,5,6,8
2010-09-18,407,48429586000,48429586,1649707286,7,4,2
2010-09-25,408,46406711000,46406711,2235375825,5,4,3
2010-10-02,409,47924584000,47924584,2896989750,4,10,2
2010-10-09,410,47467817000,47467817,1249335709,9,7,4
2010-10-16,411,47259122000,47259122,953227563,12,5,5
2010-10-23,412,47066180000,47066180,1656199822,7,10,4
2010-10-30,413,46925724000,46925724,2814673500,4,8,4
2010-11-06,414,46910990000,46910990,11703832500,1,7,7
2010-11-13,415,46746048000,46746048,1334182407,8,3,4
2010-11-20,416,46854806000,46854806,1072037100,10,5,6
2010-11-27,417,45968256000,45968256,2818329938,4,10,5
2010-12-04,418,47058055000,47058055,1435649766,8,1,7
2010-12-11,419,46508296000,46508296,3796490750,3,4,7
2010-12-18,420,47345476000,47345476,1424856375,8,9,4
2010-12-25,421,47752021000,47752021,2321144325,5,13,3
2011-01-01,422,52730602000,52730602,2205251375,6,7,8
2011-01-08,423,49668311000,49668311,3896153875,3,2,5
2011-01-15,424,48728445000,48728445,1109480813,10,8,5
2011-01-22,425,50459694000,50459694,1534833000,8,6,9
2011-01-29,426,51466592000,51466592,3057233625,4,7,4
2011-02-05,427,52511055000,52511055,12571445625,1,5,3
2011-02-12,428,54685007000,54685007,1437683209,9,8,7
2011-02-19,429,53993833000,53993833,1485904709,9,14,5
2011-02-26,430,53194872000,53194872,1611763219,8,9,5
2011-03-05,431,51661947000,51661947,1268434013,10,10,5
2011-03-12,432,52348574000,52348574,2299427550,5,8,11
2011-03-19,433,52396606000,52396606,1182294410,11,3,4
2011-03-26,434,51579439000,51579439,1480060266,8,10,3
2011-04-02,435,52341267000,52341267,1287550013,10,12,9
2011-04-09,436,50869017000,50869017,1512266579,8,6,2
2011-04-16,437,50798417000,50798417,2096245438,6,7,3
2011-04-23,438,50370042000,50370042,1377142167,9,3,7
2011-04-30,439,49680708000,49680708,1900077375,6,7,5
2011-05-07,440,49810778000,49810778,1995873000,6,4,8
2011-05-14,441,50272122000,50272122,3170417063,4,6,4
2011-05-21,442,51219943000,51219943,1413413042,9,13,7
2011-05-28,443,51236072000,51236072,1327597584,9,9,4
2011-06-04,444,50673529000,50673529,4154188625,3,6,8
2011-06-11,445,50053080000,50053080,1791683036,7,6,2
2011-06-18,446,50595241000,50595241,4051247625,3,3,13
2011-06-25,447,49555042000,49555042,2657941125,4,9,7
2011-07-02,448,51341262000,51341262,4026212750,3,6,10
2011-07-09,449,50214272000,50214272,4059715250,3,2,2
2011-07-16,450,49732036000,49732036,1990391625,6,5,6
2011-07-23,451,49861167000,49861167,882138952,13,5,10
2011-07-30,452,48456758000,48456758,1276902000,9,4,9
2011-08-06,453,48055125000,48055125,2262732375,5,4,4
2011-08-13,454,48389211000,48389211,1609125590,7,6,5
2011-08-20,455,48769851000,48769851,1635711483,7,6,3
2011-08-27,456,49420681000,49420681,1598505054,7,6,4
2011-09-03,457,49679052000,49679052,1159902825,10,13,8
2011-09-10,458,53778256000,53778256,1608812625,8,8,5
2011-09-17,459,49890095000,49890095,1655842233,7,7,5
2011-09-24,460,51917635000,51917635,3180895782,4,7,6
2011-10-01,461,50624588000,50624588,1948674875,6,12,7
2011-10-08,462,49325555000,49325555,1483559297,8,6,4
2011-10-15,463,49205151000,49205151,0,0,5,12
2011-10-22,464,126772274000,126772274,3355721106,13,10,18
2011-10-29,465,57793294000,57793294,1923662893,7,9,6
2011-11-05,466,58314753000,58314753,1530313459,9,8,8
2011-11-12,467,57383906000,57383906,1435441084,9,5,8
2011-11-19,468,55598552000,55598552,1527197167,9,4,10
2011-11-26,469,53364940000,53364940,3330131250,4,4,8
2011-12-03,470,53912965000,53912965,4333330625,3,3,2
2011-12-10,471,53492340000,53492340,1939332858,7,5,9
2011-12-17,472,51929207000,51929207,1809656090,7,11,7
2011-12-24,473,52867236000,52867236,3250418063,4,6,5
2011-12-31,474,58978482000,58978482,936690800,15,11,5
2012-01-07,475,56043275000,56043275,1693923047,8,10,3
2012-01-14,476,55591819000,55591819,3439851469,4,13,7
2012-01-21,477,60801409000,60801409,1919011829,8,8,7
2012-01-28,478,54975901000,54975901,987224759,14,8,10
2012-02-04,479,54848834000,54848834,2233046500,6,4,6
2012-02-11,480,55415681000,55415681,2996742282,4,8,3
2012-02-18,481,55642616000,55642616,4639355750,3,9,4
